,x,y,traj_id,active_state,active_energy
0,-1.2929234445026387,-0.4475197825485189,19,2,5.823108763126671
1,-1.2847377702066098,-0.44677703761396137,19,2,6.119005377165576
2,-1.278711333807839,-0.444332216965422,19,2,6.02181719004977
3,-1.2741989501556366,-0.4394971142424145,19,2,5.690221958394242
4,-1.2702328611146312,-0.4317759045597399,19,2,5.342223703110521
5,-1.266093862011041,-0.4211720316813147,19,2,5.115705239444629
6,-1.2615584892811769,-0.40822461341880756,19,2,5.051989778549649
7,-1.2568830071508494,-0.3938490520782466,19,2,5.109756830410188
8,-1.2526280628969335,-0.37915397001347795,19,2,5.221712636842766
9,-1.2494226385741032,-0.3652934736538028,19,2,5.343320321975321
10,-1.2477656218370545,-0.3533286660949604,19,2,5.4613170561547255
11,-1.2479340902752027,-0.34409089905843365,19,2,5.581218587369633
12,-1.2500228677857952,-0.33808284661277516,19,2,5.707098460144396
13,-1.2540683886001944,-0.33544716704766736,19,2,5.815739919730991
14,-1.260144069529082,-0.3359921527560454,19,2,5.843013892166399
15,-1.268312159649819,-0.3392629653271078,19,2,5.7062712340021315
16,-1.2784322756394237,-0.3446638692334922,19,2,5.376605289632141
17,-1.2900066960154897,-0.351614631484478,19,2,4.963305149634353
18,-1.3023037249675418,-0.35968786356000493,19,2,4.700399620281244
19,-1.3147588446500595,-0.36867032931338406,19,2,4.79596872991486
20,-1.3273397275046657,-0.37850473323977096,19,2,5.235552347887182
21,-1.3404878592011398,-0.3890871013832252,19,2,5.706331099051412
22,-1.354551099880482,-0.3999881067675055,19,2,5.8453812827684635
23,-1.3692330638193475,-0.4103680232790997,19,2,5.59404059257009
24,-1.383680643156103,-0.419303986032167,19,2,5.1662939276142765
25,-1.397003785925253,-0.4262596944121767,19,2,4.814554106721897
26,-1.4086974898774782,-0.43128010926570814,19,2,4.6902824268739245
27,-1.418791785012082,-0.43488685134458993,19,2,4.796251728332032
28,-1.4277646873753846,-0.437870413160639,19,2,5.030378495592273
29,-1.4362935696236168,-0.44108335379283437,19,2,5.272216969714646
30,-1.444947539006971,-0.4452473686005214,19,2,5.4465739270864395
31,-1.4539563662020476,-0.4508044134452116,19,2,5.546948567531958
32,-1.4631783437982264,-0.45786666926147773,19,2,5.615744394239849
33,-1.4722758994642482,-0.4662694428199217,19,2,5.691960765974993
34,-1.4809721905175248,-0.47565630822490795,19,2,5.771086034901149
35,-1.4892249677294767,-0.48553081950926924,19,2,5.804585972509698
